"Bruto domači proizvod na prebivalca (EUR), statistične regije, Slovenija, letno"

"STATISTIČNA REGIJA";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"SLOVENIJA";17626;17700;18253;18830;19589;20819;22135;23165
"Pomurska";11801;12095;12489;12667;13334;14076;15030;15705
"Podravska";14591;14632;15229;15549;16074;16892;17890;18887
"Koroška";13938;14157;14631;15319;15906;16690;17955;18694
"Savinjska";16186;16191;16673;17405;18013;19072;20024;20954
"Zasavska";10355;10457;10358;10213;10486;10962;11595;12287
"Posavska";14600;14828;15266;15793;16400;17272;18358;19456
"Jugovzhodna Slovenija";16612;16864;17349;17948;18482;20313;21723;23096
"Osrednjeslovenska";25555;25383;25940;26540;27715;29278;31212;32620
"Gorenjska";14706;15215;16026;16630;17194;18594;19857;20790
"Primorsko-notranjska";12254;12620;13186;14050;14678;15111;15917;16154
"Goriška";16082;16079;16545;17276;18060;19212;20017;20707
"Obalno-kraška";17840;17381;17813;18795;19542;21293;22670;22894
