"Razpoložljivi dohodek gospodinjstev (EUR), statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"SLOVENIJA";12972;12706;12843;13211;13193;13585;14127;15236;15836
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Pomurska";11223;11551;11815;12400;12620;12968;13209;14506;14395
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Podravska";12129;12103;12283;12795;12566;12858;13541;14597;15114
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Koroška";12213;11967;12008;12426;12796;12783;13061;14026;14284
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Savinjska";12591;12279;12372;12631;12403;12811;13246;14348;15038
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Zasavska";12457;11978;12067;12745;12614;12802;13311;14510;14984
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Posavska";12221;11092;11965;12056;12193;12576;13539;14541;15928
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";12632;12210;12690;13323;13198;13682;14462;15226;15730
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Osrednjeslovenska";14152;13882;13952;14353;14507;14737;15397;16519;17166
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Gorenjska";13323;12753;12940;12936;13002;13533;14327;15532;15995
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Primorsko-notranjska";13392;13256;12933;13403;13262;13902;13464;15213;14423
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Goriška";12962;12609;12614;12737;12760;13822;13929;15127;16868
"Povpreèni ekvivalentni dohodek na èlana gospodinjstva";"Obalno-kraška";12975;13054;13110;14161;13568;14434;14444;15092;15767
